File,event-id,visible,timestamp,location-long,location-lat,algorithm-marked-outlier,gps:hdop,gps:satellite-count,gps-time-to-fix,gps:vdop,ground-speed,heading,height-above-ellipsoid,height-raw,location-error-text,manually-marked-outlier,raptor-workshop:migration-state,vertical-error-numerical,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name
disney.csv,2165456700,TRUE,2005-01-21,-82.387,32.13817,,,,,,,,,,,,NonBreedingGrounds,,gps,Cathartes aura,52069,Disney,Vultures Acopian Center USA 2003-2016
disney.csv,2165456716,TRUE,2005-01-22,-82.332,31.9485,,,,,,,,,,,,NonBreedingGrounds,,gps,Cathartes aura,52069,Disney,Vultures Acopian Center USA 2003-2016
disney.csv,2165456741,TRUE,2005-01-24,-82.41783,31.50117,,,,,,,,,,,,NonBreedingGrounds,,gps,Cathartes aura,52069,Disney,Vultures Acopian Center USA 2003-2016
disney.csv,2165456757,TRUE,2005-01-25,-82.5425,31.52883,,,,,,,,,,,,NonBreedingGrounds,,gps,Cathartes aura,52069,Disney,Vultures Acopian Center USA 2003-2016
disney.csv,2165456767,TRUE,2005-01-26,-82.64317,31.75667,,,,,,,,,,,,NonBreedingGrounds,,gps,Cathartes aura,52069,Disney,Vultures Acopian Center USA 2003-2016
disney.csv,2165456780,TRUE,2005-01-27,-82.56483,31.779,,,,,,,,,,,,NonBreedingGrounds,,gps,Cathartes aura,52069,Disney,Vultures Acopian Center USA 2003-2016
disney.csv,2165456796,TRUE,2005-01-28,-82.556,32.0525,,,,,,,,,,,,NonBreedingGrounds,,gps,Cathartes aura,52069,Disney,Vultures Acopian Center USA 2003-2016
disney.csv,2165456812,TRUE,2005-01-29,-82.55917,32.00467,,,,,,,,,,,,NonBreedingGrounds,,gps,Cathartes aura,52069,Disney,Vultures Acopian Center USA 2003-2016
disney.csv,2165456828,TRUE,2005-01-30,-82.56117,32.0035,,,,,,,,,,,,NonBreedingGrounds,,gps,Cathartes aura,52069,Disney,Vultures Acopian Center USA 2003-2016
disney.csv,2165456852,TRUE,2005-02-01,-82.55967,32.0025,,,,,,,,,,,,NonBreedingGrounds,,gps,Cathartes aura,52069,Disney,Vultures Acopian Center USA 2003-2016
